name,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
forest,7666.33,7464.64,4335.52,5478.13,6174.56,259.287,3594.82,3209.13,4542.12,645.787,6955.29,1730.8,2504.63,629.044,1722.26,751.238,2115.24,4010.09,6716.49,4287.76,863.717,6441.66,317.203,6259.33,2367.46,6478.99,775.876,7666.33
impervious,8242.62,6372.53,4387.08,3837.71,3785.79,3917.02,4289.32,4474.51,2974.82,1375.89,1370.54,1251.79,7231.75,7112.31,8242.62,4573.89,751.911,2612.43,5107.63,1007.01,2510.2,1665.14,1389.43,2093.28,1502.62,4316.1,3012.59,652.604
water,2833.13,1207.34,2833.13,-725.103,1720.86,1665.01,1037.84,388.642,-562.564,1838.29,-2515.29,-799.847,1743.27,2415.85,998.685,272.222,1277.45,2578.3,875.583,1836.61,78.7805,383.084,-463.492,762.725,1948.98,41.152,-1404.07,-1095.37
farm,5243.48,4684.83,4400.5,2568.99,4270.73,3400.92,4556.59,4626.23,5029.27,5138.52,790.171,3296.69,2678.2,1406.09,1118.04,561.691,1018.58,4239.97,4630.53,4135.07,4158.84,3928.28,1641.83,942.62,348.664,5243.48,378.736,635.903
impervious,1798.51,1765.66,1307.22,249.675,1405.8,1031.85,1041.81,619.503,624.612,611.893,1143.36,323.254,668.532,235.901,704.532,517.598,1233.16,735.709,1798.51,1309.95,1104.51,679.786,430.237,306.782,288.756,914.33,1044.86,1022.45
water,2962.69,2250.33,671.599,229.826,1831.99,1842.56,2186.74,1910.27,718.783,1499.59,1021.58,1832.81,1478.8,2962.69,1008.38,399.367,1225.31,2714.98,1555.15,2133.41,1950.33,1599.42,1430.91,667.427,1426.47,2480.49,1794.96,1378.45
water,5011.31,4568.46,5011.31,3088.33,2260.56,1864.96,1834.98,2236.35,3938.29,1630.57,4134.62,4174.1,1596.74,3547.67,820.466,327.357,1250.46,3045.65,3973.62,2496.83,4758.15,4177.9,4663.66,2640.09,1943.72,4789.53,4973.42,4614.97
water,3085.63,1267.78,-355.456,-103.276,-145.822,444.444,-306.795,-136.986,716.204,2519.52,-3024.25,-252.544,3085.63,1690.06,737.352,1022.04,2088.47,2538.01,341.801,1530.35,-770.46,360.588,1672.2,1490.82,532.594,520.717,2805.35,-717.973
impervious,3291.35,3061.39,2447.4,2419.02,2475.49,2659.4,2655.36,2531.95,2849.9,2874.17,2158.39,968.993,3105.26,3004.26,3291.35,1052.3,784.016,1411.92,750.464,2336.82,2202.39,2033.48,1024.9,1204.51,1542.88,2588.89,3029.81,1053.23
water,3934.79,3417.02,-250.499,250.55,96.0003,574.646,215.314,865.569,378.014,2789.87,-353.854,516.577,3934.79,2239.79,751.135,651.226,2029.48,2833.62,1011.93,1001.34,1639.1,1041.89,1406.69,2224.43,679.548,1427.78,2634.7,-291.859
water,3715.96,1327.12,466.407,1681.95,-731.915,-348.172,912.229,1266.94,1416.05,3268.28,-129.808,917.113,3715.96,1911.5,858.063,1206.12,1990.52,2768.2,1235.13,853.397,619.231,2799.14,2025.73,635.895,606.472,1709.21,2685.93,-668.486
forest,7697.28,7668.65,519.582,644.926,6796.65,349.679,7175.66,1210.78,3623.32,1103.2,7697.28,3339.74,954.188,1079.56,2409.58,4385.24,2487.96,3723.08,387.307,6300.03,2287.46,1787.75,6174.58,5989.55,430.666,7276.05,419.888,1307.94
forest,7987.51,7731.63,6217.6,1568.08,6170.21,445.346,7067.66,2833.85,480.56,1339.22,7987.51,7042.32,4486.49,755.889,3477.7,999.182,2102.56,5967.29,865.87,6566.54,941.618,6040.04,2758.6,4045.94,619,7150.36,698.45,2963.4
farm,6902.88,6081.6,5253.59,1949.62,4340.99,2076.44,5558.79,6233.01,6902.88,2142.55,2245.57,823.003,1323.22,5537.3,876.696,191.566,629.368,5767.08,6104.16,5527.97,6381.28,5979.75,1971.22,613.501,1328.4,6204.16,917.308,6169.17
impervious,1710.64,697.061,33.3743,-21.119,-145.332,470.979,45.4772,365.179,52.078,292.854,37.0847,647.559,-56.5646,349.9,377.201,1710.64,630.129,1144.13,498.133,801.081,719.654,1137.93,1228.96,566.514,630.58,125.144,884.366,475.834
water,3140.21,1130.28,2719.82,-880.243,9.86838,1483.8,287.49,131.868,450.036,1679.05,-2186.68,-567.588,3140.21,2688.71,1074.57,1478.52,1892.12,2503.25,385.509,1691.43,816.882,2590.98,680.039,3074.13,1979.38,1368.63,1924.52,-150.129
impervious,2413.41,1361.15,743.086,665.699,949.296,1284.12,1147.8,532.843,-109.89,1429.56,1628.18,522.901,1303.55,2413.41,1640.52,2120.43,758.828,1717.67,353.646,1625.56,1403.43,1725.78,1002.03,926.202,1115.86,800.373,1774.73,963.296
forest,7964.01,7543.47,6348.44,390.982,3086.25,1993.33,7923.6,1340.81,6657.6,7804.35,7747.84,7661.75,518.941,639.903,931.554,378.568,2523.96,1596.29,7964.01,1154.67,1191.58,7457.04,275.275,7848.66,3706.97,7166.27,6007.86,1980.41
forest,7723.37,7414.13,7107.91,2236.92,6481.53,357.263,7723.37,6769.89,808.16,1750.77,7613.21,1693.27,955.456,346.275,2717.98,608.23,2175.17,5706.57,5290.59,7062.46,981.92,2245.43,2265.28,6660.15,308.761,7370.73,508.571,1708.9
forest,8187.46,7513.73,7546.96,841.745,7879.36,4266.86,7775.87,5232.62,7992.4,7733.52,8187.46,1538.37,2052.9,5150.31,1166.78,316.738,3404.52,759.11,2081.56,2341.9,1419.7,344.842,359.61,3912.1,803.435,7162.32,5042.74,870.065
grass,6540.62,6540.62,5051.64,4527.8,4417.28,4672.11,4954.2,3353.31,4728.53,4866.05,6272.63,1362.99,5837.34,2505.94,5722.99,2204.87,3323.65,4238.42,2213.5,582.255,3529.15,4086.25,1727.81,1190.13,801.154,5330.61,1203.54,5300.09
farm,6944.52,4385.12,3224.85,3683.63,2913.24,1900.83,979.696,4248.43,6824.94,6574.79,3733.22,431.598,813.171,558.111,697.412,638.63,575.367,4529.99,6944.52,4771.14,5194,4629.25,4343.38,5466.51,345.737,6558.87,1359.52,2031.05
grass,6981.42,1105.09,1085.82,307.94,1168.33,1039.24,985.557,1163.91,892.518,2270.4,3192.79,855.543,5103.41,417.688,2095.94,6402.78,671.713,884.609,6981.42,5485.17,6142.77,560.951,333.814,1268.59,315.734,6570.67,4865.35,528.614
water,2794.61,1126.62,643.916,-1732.38,-827.346,1527.71,20.9045,405.345,458.084,2462.18,-504.288,-268.145,2794.61,2216.53,989.841,1476.38,1994.37,2416.83,841.346,1408.36,2550.55,2510.04,1062.19,2633.75,1683.66,1679.55,479.028,-37.3973
forest,7696.84,7255.81,4619.26,7567.23,7696.84,74.0774,1246.31,1894.49,6821.5,476.718,2399.1,536.29,2505.85,1168.04,1186.26,610.216,1558.53,3061.43,880.849,3904.73,721.058,2281.4,340.998,7091.43,949.528,6286.7,427.92,3004.93
forest,7913.29,6846.82,7172.26,305.677,1082.89,719.142,7760.58,4280.88,7913.29,7867.99,7798.37,7373.7,434.446,1198.32,892.224,363.694,2689.42,2472.72,7715.01,4640.43,4173.12,7261.28,334.393,3493.69,3005.87,7127.04,5970.09,789.944
grass,6512.37,6512.37,3363.87,3617.17,4002.3,4234.93,4934.51,4536.9,2943.41,4562.39,5400,636.284,1074.77,3541.27,5365.09,5669.71,627.541,1372.74,1994.93,4140.88,3068.09,1689.41,391.211,916.123,309.719,4649.88,489.968,383.603
water,3559.95,2685.29,-52.5621,-689.183,-1305.53,3419.3,646.797,1248.16,3559.95,2172.82,-266.703,2550.08,1101.51,1929.51,1949.31,1124.05,1498.72,2517.92,1584.08,2024.69,-12.7472,1152.47,1481.34,2883.54,820.649,2915.65,558.179,1351.16
forest,7708.3,7456.87,740.806,7708.3,6260.21,446.273,549.637,619.976,6650.99,1972.67,877.706,468.764,5247.47,386.966,1089.57,2722.4,1902.03,3241.31,5051.69,6680.54,449.946,6638.73,217.744,1646.93,568.721,6915.2,527.231,1187.61
forest,8355.48,7468.37,1369.62,8355.48,8220.22,589.469,2315.05,1008.19,6939.06,4156.53,3765.57,316.058,627.951,512.807,1216.94,283.116,1455.72,2047.36,7796.31,4500.84,262.968,1852.26,376.921,7483.98,444.861,7349.26,1085.47,1219.54
forest,7581.31,7494.41,5198.11,5485.38,6659.81,1068.8,1075.34,7006.39,499.813,818.573,7581.31,454.382,1359.08,865.41,746.16,84.7965,3380.44,636.109,2711.43,2255.79,535.229,777.229,386.807,6193.6,591.145,7044.94,550.076,487.037
water,1414.06,539.255,-625.732,-2939.74,-2350.2,459.32,757.849,368.114,-610.65,-3316.74,440.303,386.704,1414.06,726.944,672.64,702.716,771.018,1052.18,-912.863,481.349,173.332,-1470.49,-1445.37,242.5,349.029,-2729.43,837.467,214.753
water,2705.11,1954.76,681.991,179.932,850.447,457.188,1065.51,1172.84,-705.423,1612.9,1051.24,375.298,1995.83,1208.24,652.651,1349.48,871.686,1911.21,653.855,208.69,820.25,625.117,-155.039,407.77,566.201,-397.704,1175.06,2705.11
water,2256.91,2256.91,1743.65,663.9,1089.54,414.752,618.117,259.555,861.608,289.474,-1014.28,359.271,1367.91,881.316,547.171,754.979,704.071,1796.01,331.71,573.765,1149.33,-1019.9,-1150.61,312.821,362.106,-2000,928.937,1630.77
forest,7643.97,6186.53,489.23,7643.97,7390.38,653.502,844.702,682.873,6325.02,4596.98,3684.21,478.893,1907.88,380.45,1042.89,1108.88,1742.66,1673.17,1000.65,6325.15,390.645,6637.28,272.365,3152.74,627.085,6792.73,524.863,5395.47
farm,6641.88,4469.45,3820.35,3924.9,3061.46,2215.93,3393.32,3884.19,542.736,3549.38,1501.26,576.754,4051.5,3796.07,4041,687.279,678.766,1889.54,4546.25,3217.07,2916.57,1248.03,1750.86,1965.24,1960.36,6641.88,814.221,708.376
forest,7905.48,5353.6,5883.45,804.784,857.962,4828.96,4111.69,6164.02,5572.59,3271.93,6157.55,916.657,1484.33,4527.6,1394,668.76,1189.27,6319.91,1464.82,4700.57,6964.92,6171.07,552.053,2928.47,524.677,2233.21,671.058,7905.48
forest,7006.98,7006.98,526.622,6601.23,4719.75,399.147,659.027,1138.48,6231.61,3468.99,497.72,352.311,783.573,622.098,758.953,956.118,1352.71,3519.48,3951.85,5554.5,314.885,6631.76,434.05,165.741,505.334,4752.67,459.621,805.152
grass,7591.95,5589.77,5838.32,590.94,4489.23,1871.44,7591.95,6238.44,649.423,1236.65,2092.14,720.511,3477.97,703.943,3744.29,5943.97,575.195,1131.16,7036.58,5213.13,5983.2,404.747,379.551,2679.17,365.249,6601.23,4224.83,436.937
orchard,7978.78,7173.04,7738.73,1491.64,7494.86,4115.91,7095.11,2610.62,1505.41,7895.77,7376.96,708.037,7978.78,3811.79,2492.17,5145.36,709.565,1139.88,5648.52,6581.04,1039.98,5308.55,6241.87,3734.35,5696.77,7781.97,1215.05,1213.12
forest,7884.54,7191.73,7677.99,2513.47,7884.54,460.76,7488.57,6059.82,3915.63,7334.24,7471.79,5163.87,1413.51,2777.79,1083.54,1212.71,2565.03,2436.38,1333.09,5423.05,832.55,3175.7,327.523,2308.25,5893.3,6604.03,1183.83,7225.99
impervious,3954.71,2398.42,1555.4,2226.24,2292.34,1059.82,3797.31,1711.27,2739.87,2452.13,3895.94,3844.06,1348.16,2148.52,1793.99,2228.23,1477.35,2524.03,1518.1,3154.13,1986.14,2385.9,1816.51,401.224,632.972,3863.58,3954.71,3763.62
forest,7949.27,7434.65,7215.94,2416.29,1297.83,6141.05,1940.03,1498.08,1751.2,1934.62,3864.8,1035.81,1743.7,5492.54,3593.03,350.868,1550.63,7181.81,3633.42,1019.51,7949.27,6667.59,1406.05,1435.58,530.284,1592.9,623.219,7034.63
forest,8041.03,7755.51,5818.59,2147.08,8041.03,833.139,574.14,520.009,7688.68,7825.88,6225.49,461.621,3873.1,380.998,1140.81,411.562,3807.71,1126.13,7735.27,6910.85,1098.38,2024.6,338.472,664.925,373.818,7219.59,3666.7,822.151
impervious,2393.88,2073.24,1776.56,1698.18,1700.52,1488.93,1761.34,1545.03,1717.31,1370.01,1920.38,423.022,2393.88,1802.53,2230.54,2120.99,449.042,523.184,1613.53,1367.99,1773.36,778.469,363.031,314.649,290.839,1760.94,678.805,348.99
forest,7938.96,7938.96,6190.96,7470.39,3393.93,324.045,7938.03,5897.44,804.829,1311.97,7858.49,5042.56,2353.8,315.315,3259.62,536.123,2815.8,3136.31,5155.73,7444.94,748.333,6496.39,3778.37,6508.07,355.539,7619.35,514.881,1231.33
forest,7847.89,7360.08,448.032,7847.89,7785.96,189.583,506.53,2724.81,7303.01,758.991,327.636,300.142,3295.96,983.631,1003.26,353.685,1277.17,1315.85,484.058,3544.94,1717.82,4947.28,350.873,6597.6,507.545,6645.78,312.909,779.921
farm,7527.3,5543.57,1278.52,1349.01,3109.71,5008.97,7418.02,7103.27,7527.3,1724.23,4856.56,1303.65,2549.19,5422.97,1812.18,221.855,1167.17,5304.16,5772.17,5552.58,2019.69,3656.26,1030.67,4844.72,1454.11,6716.5,2209.53,3503.95
forest,7278.14,7258.37,587.999,7278.14,6244.96,355.528,6696,6760.65,4737.71,5659.89,4757.84,2154.71,476.595,2092.17,1022.27,638.637,4626.98,1334.03,3932.16,407.198,680.886,5688.14,3140.79,1245.96,1575.7,5465.5,1951.31,5405.18
forest,8300.84,3248.47,7951.04,8300.84,8156.73,197.31,7910.56,5528.95,1091.26,1011.52,901.219,814.365,2461.05,437.942,1217.46,863.708,1531.78,1227.09,567.371,5792.68,298.943,3951.46,286.173,6401.77,1577.97,7044.5,491.887,757.719
impervious,2856.72,2068.71,2471.15,2477.58,2478.62,2508.47,2635.73,2409.95,2856.72,2584.23,1287.79,335.011,2151.24,2599.44,1571.25,665.176,768.983,1283.55,2611.34,1248.89,1493.53,2253.79,1070.66,860.605,931.029,1731.15,705.836,454.503
forest,7934.3,4253.64,2418.56,7816.62,6970.19,233.699,7619.02,7313.96,826.053,7934.3,7738.02,5981.13,463.184,3688.47,862.277,411.1,3639.22,1465.85,7435.01,2160.01,424.937,1497.58,488.487,551.932,4164.42,6744.04,4456.8,5123.36
farm,7832.06,7069.3,3976.41,1593.61,2619.33,457.438,3413.86,5853.19,7607.04,4736.72,6791.11,1240.37,967.411,2591.52,805.694,218.114,796.715,6833.88,5140.87,2932.94,2402.42,2044.38,2148.97,2947.15,605.702,7832.06,466.247,4042.78
forest,7947.4,6298.78,711.35,7947.4,4593.2,331.691,7169.73,6850.73,3701.4,6673.95,6705.63,2773.44,577.665,1996.78,994.462,618.389,3894.97,3464.76,1255.94,387.924,853.617,6740.28,2754.27,5236.31,1565.36,6222.82,2278.89,3872.46
impervious,2427.43,1432.09,1156.34,1109.85,1173.57,1360.31,1411.95,2070.61,1776.97,1914.45,1719.75,348.748,2408.04,1975.27,2252.37,2153.87,508.299,1020.57,2427.43,1914.87,1613.07,1636.38,412.294,509.863,725.194,2246.04,1902.65,369.629
forest,7150.62,6620.02,6872.79,5052.55,3187.25,4317.06,5502.76,5447.09,6169.58,6272.52,6689.76,6633.07,596.141,4519.13,766.38,419.788,2251.84,4166.63,7150.62,1589.28,6641.48,5412.38,5438.52,2318.64,6151.87,6268.71,5914.36,4474.03
forest,7484.49,652.934,5033.88,5930.91,962.461,679.724,7484.49,1583.79,929.152,7159.43,7095.13,6681.19,932.756,2712.5,731.596,523.956,4047.38,1125.58,2944.17,402.812,474.672,6343.93,392.76,383.613,1224.8,6269.05,3914.56,1766.23
forest,7688.13,7688.13,7407.07,6540.47,519.352,6067.41,1206.84,2053.26,1443.64,1004.37,6594.51,1282.24,1768.19,3860.39,2649.48,478.726,1652.55,6252.1,1372.72,6141.05,7190.24,6365.89,968.114,1049.23,458.646,1202.01,768.538,7655.12
forest,7901.28,7901.28,7727.11,2823.94,5218.9,5390.88,1545.81,2036.29,913.288,851.449,3919.53,1923.47,1557.03,5112.93,1863.26,290.738,1581.58,6144.3,3347.37,6206.25,5333.26,6767,522.844,992.922,595,7418.2,806.275,7572.31
forest,8026.64,7711.23,7616.48,6577.39,7968.42,399.344,7826.27,560.786,7852.08,7633.7,8026.64,821.15,1329.83,1867.3,997.525,498.685,4088.65,1008.88,7716.15,6859.48,867.073,4620.26,345.101,7803.93,2076.57,6999.85,6813.52,1052.78
forest,8090.44,4357,8090.44,7319.82,877.478,2133.17,6215.15,3668.85,5569.04,732.13,1065.28,875.842,2097.86,2807.1,1589.51,431.286,1561.03,7255.72,2643.96,874.757,7688.88,6221.33,1601.17,1144.81,466.219,2578.31,947.044,7014.46
forest,7927.98,7927.98,354.286,7246.46,7326.3,584.967,1207.44,1359.05,7345.84,818.794,905.606,301.558,1761.28,402.86,1042.75,417.473,1954.2,2703.73,952.59,2392.55,423.871,2033.76,272.867,1257.44,627.007,7178.37,430.054,586.451
impervious,1212.73,834.929,321.383,331.603,189.658,377.092,158.515,405.748,244.333,769.231,272.431,471.27,241.7,447.634,1212.73,624.586,420.19,616.585,900.704,786.102,266.923,721.009,422.205,432.138,384.269,22.6905,551.323,840.111
forest,7804.18,7804.18,6766.66,6873.7,3008.33,1657.36,3757.6,1166.97,6013.3,744.254,5978.17,3393.19,1935.58,3774.61,1301.69,289.742,1716.65,7263.24,4620.67,4863.53,2545.61,6562.56,2190.38,1145.43,559.568,7188.08,695.566,1316.98
grass,7736.31,6842.64,6019.08,7197.09,5546.03,4000.82,7644.64,6929.75,7615.44,7595.47,7155.65,2766.39,5075.18,5444.43,2028.08,3012.38,773.504,5175.31,1730.32,6280.62,5505.02,607.23,3456.66,2520.21,1421.38,7736.31,3799.18,2604
forest,7956.24,7297.61,4476.39,7956.24,7819.42,193.037,3532.34,925.346,7115.59,515.177,438.228,471.716,2633.85,800.108,928.906,450.154,1536.06,1706.29,959.466,3285.24,1032.41,6985.83,311.715,6837.91,654.021,6416.84,370.449,925.979
forest,8244.89,7893.32,6250.82,5913.26,8244.89,642.877,1308.26,420.651,743.418,870.823,2275.38,1296.14,712.232,782.26,1160.18,350.22,1853.29,1297.42,7555.54,6426.8,1385.08,5212.05,546.782,3845.29,824.399,5316.27,2037.76,665.902
forest,7970.1,7913.65,2921.19,1221.77,1920.36,1367.3,7894.74,3078.15,5022.1,2315.11,7970.1,3728.38,501.95,550.57,964.139,392.427,2573.36,946.509,7802.89,7244.89,1322.31,2596.47,499.533,7497.04,2502.21,7637.21,538.21,3249.68
forest,8261.6,7717.69,1125.4,8261.6,8054.81,414.626,565.84,555.132,5176.1,1902.12,349.791,407.644,1062.98,283.943,1043.65,769.792,1442.28,1992.33,7611.83,3140.29,2098.94,1969.18,243.21,2694.69,308.049,7253.93,463.02,411.154
forest,8080.91,7633.11,1457.65,8080.91,7872.54,1585.74,7721.45,1122.05,7981.93,7919.04,8042.74,812.778,1275.79,540.395,1102.63,288.757,3138.24,1101.28,7774.35,2542.79,939.507,858.792,400.795,4984.39,523.691,7143.8,3222.42,476.975
forest,8257.56,8005.16,516.346,479.887,2757.31,180.796,8257.56,2284.16,1332.73,7104.47,8096.46,2232.49,569.468,353.761,2571.08,561.434,2399.21,5091.62,5294.71,5253.78,1313.86,432.132,4449.51,2661.6,187.181,7617.17,820.864,1343.18
forest,8110.44,7685.2,7565.53,3974.22,672.754,6999.08,790.609,2312.11,618.148,864.391,6756.61,1471.76,1698.25,3694.28,2366.46,366.579,1544.78,1575.09,1223.09,4807.53,8110.44,6981.15,403.36,1200.22,536.323,3220.45,821.327,6434.05
forest,7830.67,5974.31,7830.67,941.758,869.891,5089.05,4346.05,4594.4,7486.96,2006.37,4011.62,1687.25,1483.5,5527.72,1152.22,638.122,1174.18,6406.4,1712.67,4724.96,6966.97,5512.12,467.282,1629.23,464.469,5382.63,673.629,4035.8
farm,6978.23,5318.72,5017.15,281.061,5545.42,533.336,2356.69,5824,631.767,6978.23,6237.76,348.68,932.921,2818.7,400.85,2885.29,5915.74,2794.91,6022.83,1273.43,4665.46,409.3,488.36,302.233,335.048,6043.87,405.587,3064.24
forest,7966.08,7722.77,432.421,2417.75,7966.08,313.326,527.46,284.758,1612.72,616.148,426.299,174.478,3093.8,303.418,930.935,361.449,1172.68,1248.82,937.91,2455.75,3154,3675.34,265.12,648.898,325.012,7206.52,327.586,413.203
farm,8075.77,1687.39,5420.19,786.784,2681.61,3075.64,6888.72,7370.97,8075.77,7136.24,2921.85,682.199,2370.87,3182.46,733.398,-75.3303,923.035,2955.19,1905.22,1496.16,2185.86,3211.19,1014.45,7151.62,3405.94,4368.04,623.501,1213.87
forest,8226.33,7807.42,8105.69,341.557,5955.72,4137.78,951.588,5638.38,6611.65,5548.83,8226.33,3387.2,2004.18,2218.6,849.125,370.26,1361.43,7041.58,4382.48,6591.63,3700.48,5985.79,1857.37,1330.33,496.5,5142.45,574.713,3036.34
grass,6603.31,6603.31,3529.22,4804.5,2517.72,1703.24,4959.64,4299.51,5414.29,6006.1,6300.47,3043.92,4536.08,5223.11,4939.41,1950.7,803.847,4648.01,4359.99,4256.19,4170.09,4044.74,1394.78,1523.82,858.543,5472.85,4631.71,5384.24
forest,7955.71,3100.77,7535.65,486.477,1046.72,483.24,452.313,7167.71,6781.81,1744.96,7387.51,7446.38,549.13,6689.63,776.812,1000.63,2751.22,5042.22,7014.36,452.957,5853.76,1241.23,3446.82,783.49,3488.48,6879.43,6020.65,7955.71
forest,7967.91,7173.68,7783.07,7725.51,7377.59,304.455,7967.91,7561.23,952.481,3206.31,7132.83,4115.98,2107.29,1368.31,740.168,780.36,2253.63,2350.42,1098.86,4930.21,704.596,6375.62,311.698,5196.06,5330.03,6991.16,793.144,7437.84
forest,7567.43,7344.2,6280.63,6584.34,6403.35,5807.59,5742.87,826.477,6445.78,5504.78,6659.96,6591.32,2580.38,1922.74,1254.31,291.121,4135.56,830.824,6292,5768.98,2452.91,4730.73,336.812,6146.46,573.472,6227.47,1593.55,7567.43
forest,8017.34,7717.54,598.001,5884.21,8017.34,236.432,1002.55,560.587,2810.34,517.545,345.941,278.967,1972.74,369.166,880.38,309.443,1179.82,1143.97,450.818,3934.14,7851.45,2601.29,302.516,538.199,333.204,6566.96,249.136,419.485
forest,8126.5,7655.11,6787.77,647.019,6623.48,6667.93,3939.86,7125.51,7712.52,7778.42,7725.31,514.772,5438.47,5040.82,8126.5,7224.32,690.472,5670.69,3871.86,6388.88,2309.52,5284.54,5361.63,4721.69,7073.36,7368.6,7378.35,726.123
forest,7697.76,4209.12,4240.53,551.45,2165.05,312.517,502.704,610.151,784.811,4071.79,7496.97,2229.73,428.03,1764.92,976.033,1113.77,3348.55,5018.31,7566.52,1103.44,7697.76,6125.99,611.741,2159.21,1116.29,6996.52,1140.25,2823.54
forest,8261.64,7686.25,7351.33,6943.4,420.684,5276.44,3372.25,1568.44,2247.68,780.619,8132.75,1157.17,1819.01,4646.15,2285.7,416.104,1755.76,5298.81,1027.22,1274.42,7991.75,6695.46,529.988,1571.4,507.008,5087.66,663.915,8261.64
forest,8105.56,3169.21,824.606,1536.82,8105.56,283.846,6084.81,4235.93,8078.99,5304.52,7733.3,897.644,863.603,288.17,2416.1,1991.69,1681.6,3603.27,1666.39,7148.46,1351.75,509.167,2222.81,2707.49,288.617,7479.74,1401.6,412.581
forest,7696.76,7696.76,7553.37,3581.89,5573.53,2097.91,721.091,1470.48,405.555,1011.78,6670.36,3941.4,1579.9,2662.28,1329.23,253.743,1607.79,7022.65,1051.28,6263.68,3343.89,5708.03,439.398,1779.24,550.736,7083.81,692.221,7596.81
forest,7989.17,6685.5,7645.68,6482.55,498.316,5119.32,1446.08,1616.93,1071.9,788.914,5686.14,1324.54,1801.73,3732.23,2281.97,313.739,1635.52,5371.31,979.044,1034.72,7989.17,6756.76,413.401,2825.84,549.784,5520.76,738.08,7987.47
forest,7720.09,7295.79,3194.27,7720.09,7657.47,986.199,5680.69,787.536,7655.24,6438.53,7691.5,623.223,7132.53,736.684,983.104,523.815,3524.07,1059.49,7251.19,1876.33,858.499,412.487,430.657,2144.73,471.438,6801.88,3063.31,435.553
impervious,4209.15,1386.89,1951.98,666.787,1700.37,2101.23,2168.88,2503.58,3012.16,755.605,2460.62,571.639,1881.87,923.349,3175.27,4209.15,740.918,689.998,420.057,2179.02,2086.78,1627.8,437.989,514.1,446.595,3172.95,1437.2,249.861
forest,6579.68,5879.63,5105.86,4738.07,4896.42,5335.87,4919.65,454.34,4545.83,3291.15,4995.04,5153.29,5771.65,855.882,1255.06,250.103,3393.12,1477.66,4297.42,4351.16,621.003,2502.05,391.615,2939.44,462.685,4339.9,2439.36,6579.68
